nutrition_id,meal_category,total_calories,protein_g,carbs_g,fat_g,is_high_protein,is_poultry,is_vegetarian
1,Vegetarian,1432,76,138,64,0,0,1
2,Vegetarian,1500,86,217,32,0,0,1
3,Mixed Protein,2036,120,254,60,0,0,0
4,Vegetarian,1885,74,224,77,0,0,1
5,Cheat Day,2070,118,206,86,0,0,0
6,Mixed Protein,1955,170,195,55,1,0,0
7,Batch-cooked Poultry,2131,170,158,91,1,1,0
8,Mixed Protein,1759,156,196,39,1,0,0
9,Mixed Protein,2145,173,262,45,1,0,0
10,Batch-cooked Poultry,2124,148,194,84,0,1,0
11,Batch-cooked Poultry,2107,140,155,103,0,1,0
12,Vegetarian,1739,82,175,79,0,0,1
13,Mixed Protein,2049,147,210,69,0,0,0
14,Cheat Day,1450,114,181,30,0,0,0
15,Batch-cooked Poultry,2006,210,224,30,1,1,0
16,Batch-cooked Poultry,2324,193,226,72,1,1,0
17,High-Carb Refuel,2190,164,244,62,1,0,0
18,High-Carb Refuel,1963,114,271,47,0,0,0
19,Batch-cooked Poultry,2415,195,249,71,1,1,0
20,Batch-cooked Poultry,2056,199,153,72,1,1,0
21,Batch-cooked Poultry,2100,173,154,88,1,1,0
22,Mixed Protein,1972,135,196,72,0,0,0
23,Mixed Protein,2182,157,177,94,1,0,0
24,Batch-cooked Poultry,1898,174,143,70,1,1,0
25,Batch-cooked Poultry,1959,162,177,67,1,1,0
26,Mixed Protein,2139,154,176,91,1,0,0
27,Cheat Day,1442,82,166,50,0,0,0
28,Vegetarian,2210,85,184,126,0,0,1
29,Mixed Protein,2317,148,258,77,0,0,0
30,Batch-cooked Poultry,2269,185,209,77,1,1,0
31,Batch-cooked Poultry,2796,196,323,80,1,1,0
32,Batch-cooked Poultry,2583,197,208,107,1,1,0
33,High-Carb Refuel,1945,110,185,85,0,0,0
34,High-Carb Refuel,1617,121,200,37,0,0,0
35,Cheat Day,1998,67,212,98,0,0,0
36,Cheat Day,1875,106,221,63,0,0,0
37,Cheat Day,2312,113,303,72,0,0,0
38,Cheat Day,1400,94,157,44,0,0,0
39,Batch-cooked Poultry,2432,186,242,80,1,1,0
40,Batch-cooked Poultry,2048,176,210,56,1,1,0
41,Mixed Protein,1728,149,121,72,0,0,0
42,Vegetarian,2052,131,238,64,0,0,1
43,Batch-cooked Poultry,2636,153,263,108,1,1,0
44,High-Carb Refuel,2009,100,157,109,0,0,0
45,Vegetarian,1778,88,199,70,0,0,1
46,Mixed Protein,1547,114,113,71,0,0,0
47,Batch-cooked Poultry,1870,191,137,62,1,1,0
48,Batch-cooked Poultry,2516,170,252,92,1,1,0
49,Batch-cooked Poultry,1959,172,176,63,1,1,0
50,High-Carb Refuel,1653,132,144,61,0,0,0
51,Vegetarian,1981,84,211,89,0,0,1
52,Vegetarian,1555,83,173,59,0,0,1
53,Batch-cooked Poultry,2025,175,176,69,1,1,0
54,Mixed Protein,1974,172,236,38,1,0,0
55,Mixed Protein,1732,103,141,84,0,0,0
56,High-Carb Refuel,2092,126,154,108,0,0,0
57,High-Carb Refuel,2160,144,207,84,0,0,0
58,Batch-cooked Poultry,2619,184,248,99,1,1,0
59,Cheat Day,1849,82,261,53,0,0,0
60,Batch-cooked Poultry,2002,168,166,74,1,1,0
