time_id,date,day_of_week,month,season,is_weekend
1,2024-01-01,Monday,1,Winter,0
2,2024-01-02,Tuesday,1,Winter,0
3,2024-01-03,Wednesday,1,Winter,0
4,2024-01-04,Thursday,1,Winter,0
5,2024-01-05,Friday,1,Winter,0
6,2024-01-06,Saturday,1,Winter,1
7,2024-01-07,Sunday,1,Winter,1
8,2024-01-08,Monday,1,Winter,0
9,2024-01-09,Tuesday,1,Winter,0
10,2024-01-10,Wednesday,1,Winter,0
11,2024-01-11,Thursday,1,Winter,0
12,2024-01-12,Friday,1,Winter,0
13,2024-01-13,Saturday,1,Winter,1
14,2024-01-14,Sunday,1,Winter,1
15,2024-01-15,Monday,1,Winter,0
16,2024-01-16,Tuesday,1,Winter,0
17,2024-01-17,Wednesday,1,Winter,0
18,2024-01-18,Thursday,1,Winter,0
19,2024-01-19,Friday,1,Winter,0
20,2024-01-20,Saturday,1,Winter,1
21,2024-01-21,Sunday,1,Winter,1
22,2024-01-22,Monday,1,Winter,0
23,2024-01-23,Tuesday,1,Winter,0
24,2024-01-24,Wednesday,1,Winter,0
25,2024-01-25,Thursday,1,Winter,0
26,2024-01-26,Friday,1,Winter,0
27,2024-01-27,Saturday,1,Winter,1
28,2024-01-28,Sunday,1,Winter,1
29,2024-01-29,Monday,1,Winter,0
30,2024-01-30,Tuesday,1,Winter,0
31,2024-01-31,Wednesday,1,Winter,0
32,2024-02-01,Thursday,2,Winter,0
33,2024-02-02,Friday,2,Winter,0
34,2024-02-03,Saturday,2,Winter,1
35,2024-02-04,Sunday,2,Winter,1
36,2024-02-05,Monday,2,Winter,0
37,2024-02-06,Tuesday,2,Winter,0
38,2024-02-07,Wednesday,2,Winter,0
39,2024-02-08,Thursday,2,Winter,0
40,2024-02-09,Friday,2,Winter,0
41,2024-02-10,Saturday,2,Winter,1
42,2024-02-11,Sunday,2,Winter,1
43,2024-02-12,Monday,2,Winter,0
44,2024-02-13,Tuesday,2,Winter,0
45,2024-02-14,Wednesday,2,Winter,0
46,2024-02-15,Thursday,2,Winter,0
47,2024-02-16,Friday,2,Winter,0
48,2024-02-17,Saturday,2,Winter,1
49,2024-02-18,Sunday,2,Winter,1
50,2024-02-19,Monday,2,Winter,0
51,2024-02-20,Tuesday,2,Winter,0
52,2024-02-21,Wednesday,2,Winter,0
53,2024-02-22,Thursday,2,Winter,0
54,2024-02-23,Friday,2,Winter,0
55,2024-02-24,Saturday,2,Winter,1
56,2024-02-25,Sunday,2,Winter,1
57,2024-02-26,Monday,2,Winter,0
58,2024-02-27,Tuesday,2,Winter,0
59,2024-02-28,Wednesday,2,Winter,0
60,2024-02-29,Thursday,2,Winter,0
61,2024-03-01,Friday,3,Spring,0
62,2024-03-02,Saturday,3,Spring,1
63,2024-03-03,Sunday,3,Spring,1
64,2024-03-04,Monday,3,Spring,0
65,2024-03-05,Tuesday,3,Spring,0
66,2024-03-06,Wednesday,3,Spring,0
67,2024-03-07,Thursday,3,Spring,0
68,2024-03-08,Friday,3,Spring,0
69,2024-03-09,Saturday,3,Spring,1
70,2024-03-10,Sunday,3,Spring,1
71,2024-03-11,Monday,3,Spring,0
72,2024-03-12,Tuesday,3,Spring,0
73,2024-03-13,Wednesday,3,Spring,0
74,2024-03-14,Thursday,3,Spring,0
75,2024-03-15,Friday,3,Spring,0
76,2024-03-16,Saturday,3,Spring,1
77,2024-03-17,Sunday,3,Spring,1
78,2024-03-18,Monday,3,Spring,0
79,2024-03-19,Tuesday,3,Spring,0
80,2024-03-20,Wednesday,3,Spring,0
81,2024-03-21,Thursday,3,Spring,0
82,2024-03-22,Friday,3,Spring,0
83,2024-03-23,Saturday,3,Spring,1
84,2024-03-24,Sunday,3,Spring,1
85,2024-03-25,Monday,3,Spring,0
86,2024-03-26,Tuesday,3,Spring,0
87,2024-03-27,Wednesday,3,Spring,0
88,2024-03-28,Thursday,3,Spring,0
89,2024-03-29,Friday,3,Spring,0
90,2024-03-30,Saturday,3,Spring,1
91,2024-03-31,Sunday,3,Spring,1
92,2024-04-01,Monday,4,Spring,0
93,2024-04-02,Tuesday,4,Spring,0
94,2024-04-03,Wednesday,4,Spring,0
95,2024-04-04,Thursday,4,Spring,0
96,2024-04-05,Friday,4,Spring,0
97,2024-04-06,Saturday,4,Spring,1
98,2024-04-07,Sunday,4,Spring,1
99,2024-04-08,Monday,4,Spring,0
100,2024-04-09,Tuesday,4,Spring,0
101,2024-04-10,Wednesday,4,Spring,0
102,2024-04-11,Thursday,4,Spring,0
103,2024-04-12,Friday,4,Spring,0
104,2024-04-13,Saturday,4,Spring,1
105,2024-04-14,Sunday,4,Spring,1
106,2024-04-15,Monday,4,Spring,0
107,2024-04-16,Tuesday,4,Spring,0
108,2024-04-17,Wednesday,4,Spring,0
109,2024-04-18,Thursday,4,Spring,0
110,2024-04-19,Friday,4,Spring,0
111,2024-04-20,Saturday,4,Spring,1
112,2024-04-21,Sunday,4,Spring,1
113,2024-04-22,Monday,4,Spring,0
114,2024-04-23,Tuesday,4,Spring,0
115,2024-04-24,Wednesday,4,Spring,0
116,2024-04-25,Thursday,4,Spring,0
117,2024-04-26,Friday,4,Spring,0
118,2024-04-27,Saturday,4,Spring,1
119,2024-04-28,Sunday,4,Spring,1
120,2024-04-29,Monday,4,Spring,0
121,2024-04-30,Tuesday,4,Spring,0
122,2024-05-01,Wednesday,5,Spring,0
123,2024-05-02,Thursday,5,Spring,0
124,2024-05-03,Friday,5,Spring,0
125,2024-05-04,Saturday,5,Spring,1
126,2024-05-05,Sunday,5,Spring,1
127,2024-05-06,Monday,5,Spring,0
128,2024-05-07,Tuesday,5,Spring,0
129,2024-05-08,Wednesday,5,Spring,0
130,2024-05-09,Thursday,5,Spring,0
131,2024-05-10,Friday,5,Spring,0
132,2024-05-11,Saturday,5,Spring,1
133,2024-05-12,Sunday,5,Spring,1
134,2024-05-13,Monday,5,Spring,0
135,2024-05-14,Tuesday,5,Spring,0
136,2024-05-15,Wednesday,5,Spring,0
137,2024-05-16,Thursday,5,Spring,0
138,2024-05-17,Friday,5,Spring,0
139,2024-05-18,Saturday,5,Spring,1
140,2024-05-19,Sunday,5,Spring,1
141,2024-05-20,Monday,5,Spring,0
142,2024-05-21,Tuesday,5,Spring,0
143,2024-05-22,Wednesday,5,Spring,0
144,2024-05-23,Thursday,5,Spring,0
145,2024-05-24,Friday,5,Spring,0
146,2024-05-25,Saturday,5,Spring,1
147,2024-05-26,Sunday,5,Spring,1
148,2024-05-27,Monday,5,Spring,0
149,2024-05-28,Tuesday,5,Spring,0
150,2024-05-29,Wednesday,5,Spring,0
151,2024-05-30,Thursday,5,Spring,0
152,2024-05-31,Friday,5,Spring,0
153,2024-06-01,Saturday,6,Summer,1
154,2024-06-02,Sunday,6,Summer,1
155,2024-06-03,Monday,6,Summer,0
156,2024-06-04,Tuesday,6,Summer,0
157,2024-06-05,Wednesday,6,Summer,0
158,2024-06-06,Thursday,6,Summer,0
159,2024-06-07,Friday,6,Summer,0
160,2024-06-08,Saturday,6,Summer,1
161,2024-06-09,Sunday,6,Summer,1
162,2024-06-10,Monday,6,Summer,0
163,2024-06-11,Tuesday,6,Summer,0
