workout_id,workout_type,exercise_category,intensity,duration_minutes
1,Rest,Rest,1,0
2,Incline Walk,Cardio,7,46
3,Rest,Rest,1,0
4,Rest,Rest,1,0
5,Dumbbell Strength,Strength,7,42
6,Yoga / Stretch,Recovery,3,33
7,Rest,Rest,1,0
8,Rest,Rest,1,0
9,Dumbbell Strength,Strength,8,54
10,Incline Walk,Cardio,5,61
11,Incline Walk,Cardio,7,50
12,Yoga / Stretch,Recovery,3,40
13,HIIT,Cardio,8,51
14,Rest,Rest,1,0
15,Incline Walk,Cardio,7,59
16,Dumbbell Strength,Strength,8,20
17,HIIT,Cardio,9,39
18,Dumbbell Strength,Strength,8,20
19,Rest,Rest,1,0
20,HIIT,Cardio,9,65
21,Rest,Rest,1,0
22,Incline Walk,Cardio,5,34
23,Yoga / Stretch,Recovery,3,22
24,Rest,Rest,1,0
25,Rest,Rest,1,0
26,Dumbbell Strength,Strength,7,81
27,Incline Walk,Cardio,6,51
28,Dumbbell Strength,Strength,6,36
29,Dumbbell Strength,Strength,6,51
30,Rest,Rest,1,0
31,Rest,Rest,1,0
32,Yoga / Stretch,Recovery,2,46
33,Incline Walk,Cardio,7,43
34,Incline Walk,Cardio,5,56
35,Incline Walk,Cardio,5,50
36,Dumbbell Strength,Strength,8,55
37,Dumbbell Strength,Strength,7,34
38,Incline Walk,Cardio,6,58
39,Dumbbell Strength,Strength,8,69
40,Rest,Rest,1,0
41,Incline Walk,Cardio,6,31
42,Rest,Rest,1,0
43,Rest,Rest,1,0
44,Incline Walk,Cardio,5,66
45,Rest,Rest,1,0
46,Rest,Rest,1,0
47,Incline Walk,Cardio,7,46
48,Incline Walk,Cardio,5,48
49,Rest,Rest,1,0
50,Dumbbell Strength,Strength,7,39
51,Dumbbell Strength,Strength,8,30
52,Dumbbell Strength,Strength,8,38
53,Rest,Rest,1,0
54,Rest,Rest,1,0
55,Rest,Rest,1,0
56,Rest,Rest,1,0
57,Incline Walk,Cardio,6,62
58,HIIT,Cardio,9,20
59,Dumbbell Strength,Strength,7,33
60,Dumbbell Strength,Strength,7,20
61,Rest,Rest,1,0
62,Incline Walk,Cardio,5,48
63,HIIT,Cardio,8,42
64,Rest,Rest,1,0
65,HIIT,Cardio,9,42
66,HIIT,Cardio,9,48
67,HIIT,Cardio,8,29
68,Incline Walk,Cardio,7,55
69,Dumbbell Strength,Strength,8,54
70,Incline Walk,Cardio,7,50
71,Dumbbell Strength,Strength,7,53
72,Incline Walk,Cardio,5,49
73,Rest,Rest,1,0
