fact_id,date_id,workout_id,nutrition_id,time_id,total_active_minutes,resting_heart_rate,sleep_duration_hours,active_calories,steps,hrv_score,recovery_score,recovery_label
1,1,1,1,1,1,61,7.1,12,3601,54,59,0
2,2,2,2,2,35,58,6.5,1148,15487,35,41,0
3,3,3,3,3,0,59,7.7,51,6818,67,64,1
4,4,4,4,4,5,65,6.8,0,5430,53,59,0
5,5,5,5,5,34,57,6.8,1111,9207,50,51,0
6,6,6,6,6,12,63,5.9,458,2520,58,60,1
7,7,7,7,7,4,60,7.6,105,4008,53,64,1
8,8,8,8,8,3,57,7.2,43,2991,55,64,1
9,9,9,9,9,41,56,6.3,1200,6733,49,49,0
10,10,10,10,10,23,61,7.5,1105,15531,62,61,1
11,11,11,11,11,37,59,6.3,1200,13303,50,42,0
12,12,12,12,12,14,58,7.4,547,6983,55,61,1
13,13,13,13,13,46,59,6.1,1200,14265,56,47,0
14,14,14,14,14,0,61,8.3,9,2491,59,63,1
15,15,15,15,15,36,69,7.4,1200,15793,51,45,0
16,16,16,16,16,18,59,6.5,602,6094,57,51,0
17,17,17,17,17,34,56,6.0,1200,10956,63,56,0
18,18,18,18,18,6,62,7.3,575,7398,54,55,0
19,19,19,19,19,1,56,7.4,79,3650,55,67,1
20,20,20,20,20,49,57,6.4,1200,13956,52,54,0
21,21,21,21,21,0,66,8.1,109,3542,61,68,1
22,22,22,22,22,23,57,6.6,683,12166,49,54,0
23,23,23,23,23,15,56,7.0,265,5361,52,59,0
24,24,24,24,24,0,59,8.0,65,6444,48,63,1
25,25,25,25,25,0,64,7.9,91,6985,48,61,1
26,26,26,26,26,56,59,6.9,1200,5073,50,46,0
27,27,27,27,27,39,54,6.9,1100,12154,54,57,0
28,28,28,28,28,19,57,6.1,816,7173,60,50,0
29,29,29,29,29,28,58,6.5,1131,7999,54,48,0
30,30,30,30,30,7,63,7.7,101,5252,49,59,0
31,31,31,31,31,0,64,7.4,161,6981,49,60,1
32,32,32,32,32,12,63,7.0,413,3612,58,67,1
33,33,33,33,33,22,58,7.5,1155,15958,60,62,1
34,34,34,34,34,27,55,6.4,1062,17001,52,47,0
35,35,35,35,35,16,55,6.9,849,12813,51,52,0
36,36,36,36,36,38,61,7.1,1200,8546,58,48,0
37,37,37,37,37,27,55,6.6,856,8108,48,51,0
38,38,38,38,38,34,58,7.7,1200,17518,57,58,0
39,39,39,39,39,53,60,7.5,1200,8354,65,57,0
40,40,40,40,40,0,57,7.6,112,6432,56,67,1
41,41,41,41,41,17,54,7.9,775,11889,53,56,0
42,42,42,42,42,1,61,6.8,77,5404,54,63,1
43,43,43,43,43,4,63,7.5,58,5831,51,64,1
44,44,44,44,44,19,60,7.2,1121,16282,46,53,0
45,45,45,45,45,0,63,7.0,46,5750,55,51,0
46,46,46,46,46,0,62,7.7,58,2779,60,64,1
47,47,47,47,47,31,56,6.4,1200,13960,50,57,0
48,48,48,48,48,26,54,7.3,1009,9453,53,63,1
49,49,49,49,49,1,58,8.0,135,6542,51,60,1
50,50,50,50,50,25,59,7.1,1052,6145,52,50,0
51,51,51,51,51,21,61,6.1,843,8310,47,39,0
52,52,52,52,52,29,53,6.5,1084,6423,48,52,0
53,53,53,53,53,5,59,7.8,83,2324,65,71,1
54,54,54,54,54,0,64,7.5,54,6570,55,61,1
55,55,55,55,55,0,60,6.2,71,2840,53,56,0
56,56,56,56,56,0,57,8.1,77,3903,61,60,1
57,57,57,57,57,45,66,7.1,1200,13210,55,48,0
58,58,58,58,58,16,58,6.1,769,14817,48,45,0
59,59,59,59,59,27,59,7.5,853,8351,56,56,0
60,60,60,60,60,20,61,6.7,504,6465,50,45,0
61,61,61,61,61,0,59,7.2,53,6321,56,60,1
62,62,62,62,62,22,56,7.2,950,15215,56,62,1
63,63,63,63,63,31,63,7.4,1200,9617,51,47,0
64,64,64,64,64,0,63,8.3,61,6484,49,63,1
