full_date,meal_name,calories,protein_g,carbs_g,fat_g
2024-01-01,Mixed Nuts (Snack),205,5,9,13
2024-01-01,Brown Rice + Veggies,378,11,64,4
2024-01-01,Greek Yogurt + Berries,249,21,22,5
2024-01-01,Mixed Nuts (Snack),172,8,7,14
2024-01-02,Incline Walk Fuel Bar,242,14,34,8
2024-01-02,Incline Walk Fuel Bar,216,16,35,10
2024-01-02,Lentil Soup,359,19,52,11
2024-01-02,Lentil Soup,369,21,41,9
2024-01-02,Incline Walk Fuel Bar,241,12,39,9
2024-01-03,Lentil Soup,309,14,52,7
2024-01-03,Incline Walk Fuel Bar,200,10,38,11
2024-01-03,Incline Walk Fuel Bar,244,13,33,9
2024-01-03,Lentil Soup,281,21,50,7
2024-01-03,Post-Workout Rice Cakes,132,6,29,1
2024-01-04,Egg White Omelette,284,22,12,4
2024-01-04,Egg White Omelette,212,27,10,7
2024-01-04,Protein Shake,168,29,5,3
2024-01-05,Greek Yogurt + Berries,185,18,31,6
2024-01-05,Post-Workout Rice Cakes,142,4,35,2
2024-01-05,Protein Shake,181,26,12,4
2024-01-05,Cheeseburger + Fries,716,37,77,48
2024-01-05,Protein Shake,147,25,5,3
2024-01-06,Greek Yogurt + Berries,215,16,31,6
2024-01-06,Incline Walk Fuel Bar,245,15,30,8
2024-01-06,Brown Rice + Veggies,365,12,67,4
2024-01-06,Lentil Soup,329,18,53,7
2024-01-07,Lentil Soup,362,16,47,7
2024-01-07,Avocado Toast (Whole Grain),418,14,49,15
2024-01-07,Brown Rice + Veggies,364,12,60,8
2024-01-07,Brown Rice + Veggies,386,12,60,6
2024-01-08,Protein Shake,183,33,13,5
2024-01-08,Greek Yogurt + Berries,227,20,32,3
2024-01-08,Greek Yogurt + Berries,193,15,22,7
2024-01-09,Brown Rice + Veggies,394,11,74,7
2024-01-09,Incline Walk Fuel Bar,272,15,28,11
2024-01-09,Incline Walk Fuel Bar,277,13,37,7
2024-01-09,Brown Rice + Veggies,399,12,66,8
2024-01-09,Post-Workout Rice Cakes,162,3,30,2
2024-01-10,Protein Shake,161,30,6,3
2024-01-10,Cheeseburger + Fries,765,34,78,48
2024-01-10,Protein Shake,155,26,6,5
2024-01-11,Avocado Toast (Whole Grain),351,17,50,18
2024-01-11,Incline Walk Fuel Bar,214,11,33,10
2024-01-11,Avocado Toast (Whole Grain),360,13,53,14
2024-01-11,Post-Workout Rice Cakes,169,6,31,2
2024-01-12,Greek Yogurt + Berries,213,19,28,7
2024-01-12,Cheeseburger + Fries,798,34,93,42
2024-01-12,Mixed Nuts (Snack),177,8,6,13
2024-01-12,Batch-cooked Chicken Breast,466,53,15,6
2024-01-13,Greek Yogurt + Berries,231,18,30,7
2024-01-13,Brown Rice + Veggies,334,11,64,7
2024-01-13,Avocado Toast (Whole Grain),397,10,47,15
2024-01-13,Mixed Nuts (Snack),177,5,9,17
2024-01-14,Post-Workout Rice Cakes,176,5,31,2
2024-01-14,Brown Rice + Veggies,354,8,61,5
2024-01-14,Brown Rice + Veggies,316,8,63,9
2024-01-15,Cheeseburger + Fries,809,37,80,33
2024-01-15,Cheeseburger + Fries,833,38,70,36
2024-01-15,Protein Shake,166,28,12,4
2024-01-15,Mixed Nuts (Snack),209,6,11,16
2024-01-16,Brown Rice + Veggies,317,13,66,7
2024-01-16,Mixed Nuts (Snack),205,6,6,17
2024-01-16,Mixed Nuts (Snack),160,7,9,14
2024-01-16,Lentil Soup,293,14,49,8
2024-01-17,Batch-cooked Chicken Breast,442,53,17,6
2024-01-17,Greek Yogurt + Berries,213,19,30,3
2024-01-17,Greek Yogurt + Berries,207,16,29,3
2024-01-17,Greek Yogurt + Berries,217,18,24,3
2024-01-18,Ground Turkey Bowl,432,49,42,18
2024-01-18,Batch-cooked Chicken Breast,386,43,16,8
2024-01-18,Egg White Omelette,215,24,9,6
2024-01-18,Ground Turkey Bowl,495,38,47,17
2024-01-19,Lentil Soup,280,14,40,11
2024-01-19,Avocado Toast (Whole Grain),424,13,53,19
2024-01-19,Lentil Soup,287,16,40,10
2024-01-20,Greek Yogurt + Berries,181,19,31,6
2024-01-20,Lentil Soup,286,18,53,5
2024-01-20,Batch-cooked Chicken Breast,405,52,18,11
2024-01-20,Ground Turkey Bowl,508,42,44,10
2024-01-21,Egg White Omelette,289,27,6,7
2024-01-21,Post-Workout Rice Cakes,134,4,25,3
2024-01-21,Ground Turkey Bowl,431,41,33,11
2024-01-22,Lentil Soup,371,14,50,8
2024-01-22,Brown Rice + Veggies,388,9,55,8
2024-01-22,Greek Yogurt + Berries,192,21,25,4
2024-01-22,Mixed Nuts (Snack),169,6,10,16
2024-01-22,Greek Yogurt + Berries,206,15,23,5
2024-01-23,Avocado Toast (Whole Grain),380,15,44,18
2024-01-23,Mixed Nuts (Snack),201,5,9,14
2024-01-23,Mixed Nuts (Snack),202,6,7,13
2024-01-23,Greek Yogurt + Berries,208,21,29,5
2024-01-24,Greek Yogurt + Berries,221,20,21,7
2024-01-24,Ground Turkey Bowl,507,44,36,19
2024-01-24,Ground Turkey Bowl,483,39,32,16
2024-01-24,Greek Yogurt + Berries,205,15,29,7
2024-01-25,Ground Turkey Bowl,453,40,39,17
2024-01-25,Greek Yogurt + Berries,224,20,28,4
2024-01-25,Protein Shake,192,31,12,3
2024-01-26,Greek Yogurt + Berries,240,16,33,3
2024-01-26,Batch-cooked Chicken Breast,382,49,19,9
2024-01-26,Greek Yogurt + Berries,224,21,28,4
2024-01-26,Greek Yogurt + Berries,209,17,26,3
2024-01-26,Egg White Omelette,203,27,10,7
2024-01-27,Mixed Nuts (Snack),217,5,6,13
2024-01-27,Avocado Toast (Whole Grain),439,12,49,21
2024-01-27,Lentil Soup,300,15,50,6
2024-01-28,Mixed Nuts (Snack),182,6,7,16
2024-01-28,Avocado Toast (Whole Grain),424,16,47,14
2024-01-28,Greek Yogurt + Berries,222,19,29,4
2024-01-29,Egg White Omelette,202,24,13,7
2024-01-29,Ground Turkey Bowl,440,41,39,17
2024-01-29,Batch-cooked Chicken Breast,418,45,15,12
2024-01-29,Protein Shake,179,33,14,2
2024-01-30,Greek Yogurt + Berries,220,18,31,6
2024-01-30,Lentil Soup,298,17,53,6
2024-01-30,Brown Rice + Veggies,354,9,60,4
