full_date,minute,heart_rate,steps_per_minute
2024-01-01,0,75.0,0
2024-01-01,1,75.6,0
2024-01-01,2,74.6,0
2024-01-01,3,70.7,0
2024-01-01,4,73.2,0
2024-01-01,5,72.4,0
2024-01-01,6,71.5,0
2024-01-01,7,73.6,0
2024-01-01,8,78.6,0
2024-01-01,9,75.9,0
2024-01-01,10,78.6,0
2024-01-01,11,76.8,0
2024-01-01,12,77.6,0
2024-01-01,13,74.2,0
2024-01-01,14,77.0,0
2024-01-01,15,77.5,0
2024-01-01,16,74.8,0
2024-01-01,17,77.1,0
2024-01-01,18,77.1,0
2024-01-01,19,74.9,0
2024-01-01,20,73.8,0
2024-01-01,21,73.6,0
2024-01-01,22,76.2,0
2024-01-01,23,76.7,0
2024-01-01,24,74.4,0
2024-01-01,25,76.1,0
2024-01-01,26,77.1,0
2024-01-01,27,77.2,0
2024-01-01,28,79.1,0
2024-01-01,29,78.6,0
2024-01-01,30,74.0,0
2024-01-01,31,79.4,0
2024-01-01,32,74.9,0
2024-01-01,33,78.1,0
2024-01-01,34,76.1,0
2024-01-01,35,75.2,0
2024-01-01,36,72.4,0
2024-01-01,37,75.7,0
2024-01-01,38,72.9,0
2024-01-01,39,77.9,0
2024-01-01,40,79.0,0
2024-01-01,41,74.4,0
2024-01-01,42,76.6,0
2024-01-01,43,74.5,0
2024-01-01,44,74.7,0
2024-01-01,45,77.5,0
2024-01-01,46,75.9,0
2024-01-01,47,79.5,0
2024-01-01,48,75.0,0
2024-01-01,49,78.0,0
2024-01-01,50,76.2,0
2024-01-01,51,77.6,0
2024-01-01,52,75.1,0
2024-01-01,53,75.9,0
2024-01-01,54,75.8,0
2024-01-01,55,74.3,0
2024-01-01,56,77.3,0
2024-01-01,57,77.3,0
2024-01-01,58,77.2,0
2024-01-01,59,79.1,0
2024-01-01,60,78.9,0
2024-01-01,61,75.3,0
2024-01-01,62,76.7,0
2024-01-01,63,74.8,0
2024-01-01,64,76.0,0
2024-01-01,65,74.8,0
2024-01-01,66,79.2,0
2024-01-01,67,76.7,0
2024-01-01,68,75.6,0
2024-01-01,69,78.4,0
2024-01-01,70,71.7,0
2024-01-01,71,72.0,0
2024-01-01,72,77.6,0
2024-01-01,73,76.1,0
2024-01-01,74,76.5,0
2024-01-01,75,73.3,0
2024-01-01,76,76.0,0
2024-01-01,77,80.0,0
2024-01-01,78,77.6,0
2024-01-01,79,76.3,0
2024-01-01,80,75.1,0
2024-01-01,81,75.2,0
2024-01-01,82,71.7,0
2024-01-01,83,76.5,0
2024-01-01,84,77.7,0
2024-01-01,85,72.8,0
2024-01-01,86,74.7,0
2024-01-01,87,73.7,0
2024-01-01,88,74.1,0
2024-01-01,89,76.1,0
2024-01-01,90,71.8,0
2024-01-01,91,77.2,0
2024-01-01,92,77.5,0
2024-01-01,93,75.5,0
2024-01-01,94,71.0,0
2024-01-01,95,74.0,0
2024-01-01,96,78.5,0
2024-01-01,97,70.4,0
2024-01-01,98,75.3,0
2024-01-01,99,73.6,0
2024-01-01,100,77.6,0
2024-01-01,101,74.6,0
2024-01-01,102,76.8,0
2024-01-01,103,77.1,0
2024-01-01,104,79.7,0
2024-01-01,105,75.6,0
2024-01-01,106,76.8,0
2024-01-01,107,73.0,0
2024-01-01,108,78.4,0
2024-01-01,109,74.5,0
2024-01-01,110,74.9,0
2024-01-01,111,76.0,0
2024-01-01,112,72.9,0
2024-01-01,113,76.5,0
2024-01-01,114,77.9,0
2024-01-01,115,76.6,0
2024-01-01,116,72.8,0
2024-01-01,117,75.8,0
2024-01-01,118,77.5,0
2024-01-01,119,72.2,0
2024-01-01,120,73.9,0
2024-01-01,121,77.8,0
2024-01-01,122,76.5,0
2024-01-01,123,76.8,0
2024-01-01,124,79.7,0
2024-01-01,125,76.9,0
2024-01-01,126,77.3,0
2024-01-01,127,81.4,6
2024-01-01,128,75.6,0
2024-01-01,129,74.4,0
2024-01-01,130,76.9,0
2024-01-01,131,76.9,0
2024-01-01,132,74.9,0
2024-01-01,133,73.9,0
2024-01-01,134,80.6,0
2024-01-01,135,76.7,0
2024-01-01,136,74.5,0
2024-01-01,137,77.8,0
2024-01-01,138,75.8,0
2024-01-01,139,75.5,0
2024-01-01,140,77.1,0
2024-01-01,141,73.4,0
2024-01-01,142,76.7,0
2024-01-01,143,79.8,0
2024-01-01,144,76.9,0
2024-01-01,145,75.2,0
2024-01-01,146,75.0,0
2024-01-01,147,75.2,0
2024-01-01,148,75.5,0
2024-01-01,149,75.2,0
2024-01-01,150,77.8,0
2024-01-01,151,72.5,0
2024-01-01,152,77.7,0
2024-01-01,153,75.2,0
2024-01-01,154,76.8,0
2024-01-01,155,73.7,0
2024-01-01,156,78.7,0
2024-01-01,157,78.5,0
2024-01-01,158,77.9,0
2024-01-01,159,73.0,0
2024-01-01,160,77.7,0
2024-01-01,161,76.8,0
2024-01-01,162,72.8,0
2024-01-01,163,76.0,0
2024-01-01,164,76.7,0
2024-01-01,165,77.1,0
2024-01-01,166,76.4,0
2024-01-01,167,76.6,0
2024-01-01,168,78.9,0
2024-01-01,169,78.5,0
2024-01-01,170,70.3,0
2024-01-01,171,75.4,0
2024-01-01,172,75.7,0
2024-01-01,173,72.5,0
2024-01-01,174,76.2,0
2024-01-01,175,78.5,0
2024-01-01,176,73.8,0
2024-01-01,177,76.7,0
2024-01-01,178,74.2,0
2024-01-01,179,74.7,0
2024-01-01,180,79.0,0
2024-01-01,181,74.9,0
2024-01-01,182,76.9,0
2024-01-01,183,72.3,0
2024-01-01,184,79.7,0
2024-01-01,185,77.2,0
2024-01-01,186,75.6,0
2024-01-01,187,77.2,0
2024-01-01,188,73.2,0
2024-01-01,189,78.4,0
2024-01-01,190,75.4,0
2024-01-01,191,75.6,0
2024-01-01,192,75.0,0
2024-01-01,193,74.8,0
2024-01-01,194,77.4,0
2024-01-01,195,76.5,0
2024-01-01,196,77.3,0
2024-01-01,197,76.0,0
2024-01-01,198,77.0,0
2024-01-01,199,75.2,0
2024-01-01,200,80.5,0
2024-01-01,201,72.9,0
2024-01-01,202,78.5,0
2024-01-01,203,78.7,0
2024-01-01,204,74.3,0
2024-01-01,205,80.5,0
2024-01-01,206,78.0,0
2024-01-01,207,77.9,0
2024-01-01,208,76.1,0
2024-01-01,209,75.6,0
2024-01-01,210,75.6,0
2024-01-01,211,76.8,0
2024-01-01,212,78.8,0
2024-01-01,213,76.4,0
2024-01-01,214,74.2,0
2024-01-01,215,77.6,0
2024-01-01,216,77.8,0
2024-01-01,217,77.3,0
2024-01-01,218,77.5,0
2024-01-01,219,75.5,0
2024-01-01,220,74.1,0
2024-01-01,221,74.3,0
2024-01-01,222,72.7,0
2024-01-01,223,76.5,0
2024-01-01,224,75.8,0
2024-01-01,225,75.1,0
2024-01-01,226,70.1,0
2024-01-01,227,73.5,0
2024-01-01,228,78.2,0
2024-01-01,229,74.7,0
2024-01-01,230,76.7,0
2024-01-01,231,73.2,0
2024-01-01,232,78.9,0
2024-01-01,233,75.7,0
2024-01-01,234,76.6,0
2024-01-01,235,80.7,0
2024-01-01,236,79.0,0
2024-01-01,237,75.4,0
2024-01-01,238,74.8,0
2024-01-01,239,75.3,0
2024-01-01,240,77.0,0
2024-01-01,241,75.8,0
2024-01-01,242,75.2,0
2024-01-01,243,78.9,0
2024-01-01,244,75.8,0
2024-01-01,245,80.6,0
2024-01-01,246,76.2,0
2024-01-01,247,79.6,0
2024-01-01,248,76.7,0
2024-01-01,249,77.9,0
2024-01-01,250,74.6,0
2024-01-01,251,74.3,0
2024-01-01,252,76.9,0
2024-01-01,253,78.0,0
2024-01-01,254,76.1,0
2024-01-01,255,73.4,0
2024-01-01,256,73.3,0
2024-01-01,257,73.1,0
2024-01-01,258,72.5,0
2024-01-01,259,76.2,0
2024-01-01,260,78.3,0
2024-01-01,261,76.0,0
2024-01-01,262,71.5,0
2024-01-01,263,75.6,0
2024-01-01,264,75.7,0
2024-01-01,265,80.2,0
2024-01-01,266,73.1,0
2024-01-01,267,75.2,0
2024-01-01,268,79.4,0
2024-01-01,269,76.9,0
2024-01-01,270,77.1,0
2024-01-01,271,76.2,0
2024-01-01,272,76.7,0
2024-01-01,273,77.6,0
2024-01-01,274,74.4,0
2024-01-01,275,77.8,0
2024-01-01,276,73.3,0
2024-01-01,277,76.7,0
2024-01-01,278,76.4,0
2024-01-01,279,74.8,0
2024-01-01,280,76.0,0
2024-01-01,281,74.8,0
2024-01-01,282,73.9,0
2024-01-01,283,75.3,0
2024-01-01,284,73.8,0
2024-01-01,285,76.6,0
2024-01-01,286,73.7,0
2024-01-01,287,77.4,0
2024-01-01,288,73.6,0
2024-01-01,289,74.9,0
2024-01-01,290,74.8,0
2024-01-01,291,78.7,0
2024-01-01,292,76.7,0
2024-01-01,293,75.6,0
2024-01-01,294,77.0,0
2024-01-01,295,71.8,0
2024-01-01,296,75.9,0
2024-01-01,297,80.0,0
2024-01-01,298,76.3,0
2024-01-01,299,76.1,0
2024-01-01,300,77.1,0
2024-01-01,301,77.8,0
2024-01-01,302,72.0,0
2024-01-01,303,72.6,0
2024-01-01,304,76.4,0
2024-01-01,305,74.6,0
2024-01-01,306,78.6,0
2024-01-01,307,75.4,0
2024-01-01,308,72.1,0
2024-01-01,309,73.5,0
2024-01-01,310,70.5,0
2024-01-01,311,75.5,0
2024-01-01,312,75.6,0
2024-01-01,313,75.2,0
2024-01-01,314,78.2,0
2024-01-01,315,78.4,0
2024-01-01,316,75.7,0
2024-01-01,317,71.7,0
2024-01-01,318,77.2,0
2024-01-01,319,77.1,0
2024-01-01,320,76.6,0
2024-01-01,321,78.0,0
2024-01-01,322,73.7,0
2024-01-01,323,80.0,0
2024-01-01,324,74.1,0
2024-01-01,325,77.5,0
2024-01-01,326,72.6,0
2024-01-01,327,74.1,0
2024-01-01,328,79.0,0
2024-01-01,329,75.5,0
2024-01-01,330,77.7,0
2024-01-01,331,76.5,0
2024-01-01,332,75.8,0
2024-01-01,333,78.7,0
2024-01-01,334,75.5,0
2024-01-01,335,72.4,0
2024-01-01,336,74.4,0
2024-01-01,337,77.1,0
2024-01-01,338,76.8,0
2024-01-01,339,72.9,0
2024-01-01,340,74.6,0
2024-01-01,341,74.8,0
2024-01-01,342,75.3,0
2024-01-01,343,73.2,0
2024-01-01,344,74.7,0
2024-01-01,345,74.5,0
2024-01-01,346,77.5,0
2024-01-01,347,77.6,0
2024-01-01,348,75.7,0
2024-01-01,349,75.2,0
2024-01-01,350,76.3,0
2024-01-01,351,74.4,0
2024-01-01,352,73.7,0
2024-01-01,353,74.1,0
2024-01-01,354,74.7,0
2024-01-01,355,73.7,0
2024-01-01,356,76.3,0
2024-01-01,357,77.5,0
2024-01-01,358,72.8,0
2024-01-01,359,76.1,0
2024-01-01,360,75.6,0
2024-01-01,361,76.7,0
2024-01-01,362,76.0,0
2024-01-01,363,73.1,0
2024-01-01,364,73.5,0
2024-01-01,365,76.1,0
2024-01-01,366,78.1,0
2024-01-01,367,71.6,0
2024-01-01,368,76.7,0
2024-01-01,369,78.4,0
2024-01-01,370,75.7,0
2024-01-01,371,77.1,0
2024-01-01,372,74.6,0
2024-01-01,373,75.8,0
2024-01-01,374,72.8,0
2024-01-01,375,71.3,0
2024-01-01,376,77.9,0
2024-01-01,377,74.0,0
2024-01-01,378,75.1,0
2024-01-01,379,73.2,0
2024-01-01,380,73.2,0
2024-01-01,381,75.7,0
2024-01-01,382,74.5,0
2024-01-01,383,76.8,0
2024-01-01,384,76.9,0
2024-01-01,385,76.6,0
2024-01-01,386,76.5,0
2024-01-01,387,79.2,0
2024-01-01,388,73.9,0
2024-01-01,389,75.9,0
2024-01-01,390,78.3,0
2024-01-01,391,78.5,0
2024-01-01,392,73.2,0
2024-01-01,393,75.4,0
2024-01-01,394,78.7,0
2024-01-01,395,77.0,0
2024-01-01,396,76.4,0
2024-01-01,397,75.6,0
2024-01-01,398,75.2,0
2024-01-01,399,76.6,0
2024-01-01,400,75.5,0
2024-01-01,401,75.9,0
2024-01-01,402,76.2,0
2024-01-01,403,74.6,0
2024-01-01,404,77.1,0
2024-01-01,405,81.8,5
2024-01-01,406,72.4,0
2024-01-01,407,76.6,0
2024-01-01,408,74.5,0
2024-01-01,409,77.2,0
2024-01-01,410,76.1,0
2024-01-01,411,77.5,0
2024-01-01,412,78.4,0
2024-01-01,413,76.4,0
2024-01-01,414,78.3,0
2024-01-01,415,71.3,0
2024-01-01,416,79.2,0
2024-01-01,417,76.8,0
2024-01-01,418,78.2,0
