full_date,workout_type,exercise_category,intensity,duration_minutes
2024-01-01,Rest,Rest,1,0
2024-01-02,Incline Walk,Cardio,7,46
2024-01-03,Rest,Rest,1,0
2024-01-04,Rest,Rest,1,0
2024-01-05,Dumbbell Strength,Strength,7,42
2024-01-06,Yoga / Stretch,Recovery,3,33
2024-01-07,Rest,Rest,1,0
2024-01-08,Rest,Rest,1,0
2024-01-09,Dumbbell Strength,Strength,8,54
2024-01-10,Incline Walk,Cardio,5,61
2024-01-11,Incline Walk,Cardio,7,50
2024-01-12,Yoga / Stretch,Recovery,3,40
2024-01-13,HIIT,Cardio,8,51
2024-01-14,Rest,Rest,1,0
2024-01-15,Incline Walk,Cardio,7,59
2024-01-16,Dumbbell Strength,Strength,8,20
2024-01-17,HIIT,Cardio,9,39
2024-01-18,Dumbbell Strength,Strength,8,20
2024-01-19,Rest,Rest,1,0
2024-01-20,HIIT,Cardio,9,65
2024-01-21,Rest,Rest,1,0
2024-01-22,Incline Walk,Cardio,5,34
2024-01-23,Yoga / Stretch,Recovery,3,22
2024-01-24,Rest,Rest,1,0
2024-01-25,Rest,Rest,1,0
2024-01-26,Dumbbell Strength,Strength,7,81
2024-01-27,Incline Walk,Cardio,6,51
2024-01-28,Dumbbell Strength,Strength,6,36
2024-01-29,Dumbbell Strength,Strength,6,51
2024-01-30,Rest,Rest,1,0
2024-01-31,Rest,Rest,1,0
2024-02-01,Yoga / Stretch,Recovery,2,46
2024-02-02,Incline Walk,Cardio,7,43
2024-02-03,Incline Walk,Cardio,5,56
2024-02-04,Incline Walk,Cardio,5,50
2024-02-05,Dumbbell Strength,Strength,8,55
2024-02-06,Dumbbell Strength,Strength,7,34
2024-02-07,Incline Walk,Cardio,6,58
2024-02-08,Dumbbell Strength,Strength,8,69
2024-02-09,Rest,Rest,1,0
2024-02-10,Incline Walk,Cardio,6,31
2024-02-11,Rest,Rest,1,0
2024-02-12,Rest,Rest,1,0
2024-02-13,Incline Walk,Cardio,5,66
2024-02-14,Rest,Rest,1,0
2024-02-15,Rest,Rest,1,0
2024-02-16,Incline Walk,Cardio,7,46
2024-02-17,Incline Walk,Cardio,5,48
2024-02-18,Rest,Rest,1,0
2024-02-19,Dumbbell Strength,Strength,7,39
2024-02-20,Dumbbell Strength,Strength,8,30
2024-02-21,Dumbbell Strength,Strength,8,38
2024-02-22,Rest,Rest,1,0
2024-02-23,Rest,Rest,1,0
2024-02-24,Rest,Rest,1,0
2024-02-25,Rest,Rest,1,0
2024-02-26,Incline Walk,Cardio,6,62
2024-02-27,HIIT,Cardio,9,20
2024-02-28,Dumbbell Strength,Strength,7,33
2024-02-29,Dumbbell Strength,Strength,7,20
2024-03-01,Rest,Rest,1,0
2024-03-02,Incline Walk,Cardio,5,48
2024-03-03,HIIT,Cardio,8,42
2024-03-04,Rest,Rest,1,0
2024-03-05,HIIT,Cardio,9,42
2024-03-06,HIIT,Cardio,9,48
2024-03-07,HIIT,Cardio,8,29
2024-03-08,Incline Walk,Cardio,7,55
2024-03-09,Dumbbell Strength,Strength,8,54
2024-03-10,Incline Walk,Cardio,7,50
2024-03-11,Dumbbell Strength,Strength,7,53
2024-03-12,Incline Walk,Cardio,5,49
2024-03-13,Rest,Rest,1,0
2024-03-14,Dumbbell Strength,Strength,6,43
2024-03-15,Dumbbell Strength,Strength,8,40
2024-03-16,Incline Walk,Cardio,7,33
2024-03-17,Incline Walk,Cardio,6,29
2024-03-18,Rest,Rest,1,0
2024-03-19,HIIT,Cardio,8,31
2024-03-20,Rest,Rest,1,0
2024-03-21,Rest,Rest,1,0
2024-03-22,Incline Walk,Cardio,5,45
2024-03-23,Rest,Rest,1,0
2024-03-24,Dumbbell Strength,Strength,7,58
2024-03-25,Dumbbell Strength,Strength,7,56
2024-03-26,Dumbbell Strength,Strength,6,42
2024-03-27,Rest,Rest,1,0
2024-03-28,Incline Walk,Cardio,7,53
2024-03-29,Dumbbell Strength,Strength,7,47
2024-03-30,HIIT,Cardio,8,23
2024-03-31,Dumbbell Strength,Strength,6,43
2024-04-01,Rest,Rest,1,0
2024-04-02,Incline Walk,Cardio,6,31
2024-04-03,Incline Walk,Cardio,7,47
2024-04-04,Incline Walk,Cardio,7,23
2024-04-05,HIIT,Cardio,8,65
2024-04-06,Incline Walk,Cardio,5,63
2024-04-07,Dumbbell Strength,Strength,8,41
2024-04-08,Dumbbell Strength,Strength,7,50
2024-04-09,Yoga / Stretch,Recovery,2,20
